Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150808_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-08 10:10:19 AM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A8,40_11.24,D,UNKNOWN,FAM,NFQ-MGB,24.66854668,24.68288422,0.020276343,,,,TRUE,0.01,TRUE,3,20,,N,N
A9,44_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,22.66015053,22.96469116,0.43068549,,,,TRUE,0.01,TRUE,3,20,,N,N
A10,44_05.06,Mcap,UNKNOWN,FAM,NFQ-MGB,23.2692318,22.96469116,0.43068549,,,,TRUE,0.01,TRUE,3,20,,N,N
A11,44_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.766325,25.71243477,0.076212294,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,44_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,39_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.80087662,22.45914459,0.483280718,,,,TRUE,0.01,TRUE,3,20,,N,N
B2,39_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.11741447,22.45914459,0.483280718,,,,TRUE,0.01,TRUE,3,20,,N,N
B3,39_10.24,C,UNKNOWN,VIC,NFQ-MGB,29.34553146,29.40158081,0.079264395,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,39_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B4,39_10.24,C,UNKNOWN,VIC,NFQ-MGB,29.45762825,29.40158081,0.079264395,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,39_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B5,40_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.02637863,23.26966476,0.344058543,,,,TRUE,0.01,TRUE,3,20,,N,N
B6,40_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.5129509,23.26966476,0.344058543,,,,TRUE,0.01,TRUE,3,20,,N,N
B7,40_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.70704651,25.7550354,0.067866541,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,40_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,25.3676796,25.3835144,0.022392452,,,,TRUE,0.01,TRUE,3,20,,N,N
B8,40_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.80302429,25.7550354,0.067866541,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,40_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,25.39934731,25.3835144,0.022392452,,,,TRUE,0.01,TRUE,3,20,,N,N
B9,43_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,32.47792435,32.15077972,0.462649673,,,,TRUE,0.01,TRUE,3,20,,N,N
B10,43_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,31.82363892,32.15077972,0.462649673,,,,TRUE,0.01,TRUE,3,20,,N,N
B11,43_01.14,C,UNKNOWN,VIC,NFQ-MGB,27.57476997,27.66516876,0.127843186,,,,FALSE,0.01,FALSE,3,20,,N,Y
B11,43_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
B12,43_01.14,C,UNKNOWN,VIC,NFQ-MGB,27.75556755,27.66516876,0.127843186,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,43_01.14,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C1,39_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,24.95153046,24.49551392,0.644904792,,,,TRUE,0.01,TRUE,3,20,,Y,N
C2,39_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,24.03949738,24.49551392,0.644904792,,,,TRUE,0.01,TRUE,3,20,,Y,N
C3,39_11.04,C,UNKNOWN,VIC,NFQ-MGB,31.59165382,31.40880966,0.258580685,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,39_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,Y
C4,39_11.04,C,UNKNOWN,VIC,NFQ-MGB,31.2259655,31.40880966,0.258580685,,,,FALSE,0.01,FALSE,3,20,,N,Y
